feature,cn_name,sign_2020,sign_2021,sign_2022,sign_2023,consistent
market_avg_amplitude_rankpct,市场综合状态avg_amplitude｜当日横截面百分位,1,1,1,1,True
cs_n,当日横截面样本数,-1,-1,1,-1,False
MKT_VOL20_PCT,"市场状态｜pct_ts(Std(R_idx,20),250)",-1,-1,-1,-1,True
day_of_year,年内日序,1,-1,1,-1,False
STYLE_SIZE_RS60,大小盘风格六十日相对强弱,-1,-1,-1,-1,True
MKT_TURNOVER_PCTL,全市场换手率七百五十日滚动分位（成交额加权）,1,1,1,1,True
week_of_year,年内周序,1,-1,1,-1,False
MKT_AMT_PCT,市场情绪｜全市场 amount 加总 20 日均值的 250 日时序分位,1,-1,-1,-1,False
LIMITUP_N_MKT_MA20,市场情绪｜LIMITUP_N_MKT 的 20 日均值,-1,-1,-1,-1,True
STYLE_GV_RS60,成长价值风格六十日相对强弱,-1,-1,-1,1,False
MKT_TURNOVER_PCTL_EQW,全市场换手率七百五十日滚动分位（等权对照）,1,1,1,1,True
Q20_RETON_30,"Quant(O/PC-1,30,0.2)",-1,-1,-1,-1,True
MKT_DD120,"市场状态｜C_idx/Max(H_idx,120)-1",-1,-1,-1,1,False
DELTA_OPEN_60,"Delta(Õ,60)/C̃",-1,-1,-1,-1,True
ILLIQ20,"流动性｜log(Mean(abs(R)/(A*1000), 20) + 1e-30)",1,1,1,1,True
quarter,季度,1,-1,-1,-1,False
DIST_52W_HIGH,"位置｜C~/Max(H~,250)-1",-1,-1,-1,-1,True
REF_OPEN_60,"Ref(Õ,60)/C̃",1,1,1,1,True
MKT_MA60,"市场状态｜C_idx/Mean(C_idx,60)-1",1,1,-1,1,False
DELTA_HIGH_60,"Delta(H̃,60)/C̃",-1,-1,-1,-1,True
MKT_MEDIAN_RET20,市场宽度｜universe 内 RET20 中位数 (自算),-1,-1,-1,-1,True
rsi_oversold_24_rankpct,相对强弱指标oversold_24｜当日横截面百分位,-1,1,1,1,False
bb_lower,布林带lower,-1,-1,-1,-1,True
MAX_OPEN_60,"Max(Õ,60)/C̃",1,1,1,1,True
DV_TTM,股息率滚动十二个月值,1,1,1,1,True
MKT_DOWNLIMIT_Z,市场跌停家数滚动标准化恐慌度,1,-1,-1,-1,False
LOG_PRICE,"价格水平｜ln(C) (原始价, 除权失真标注: 仅作彩票/退市代理)",-1,-1,-1,-1,True
anchor_close,"锚点收盘价(区间(i1,j]最低收盘价)",-1,-1,-1,-1,True
COV_R_RIDX_20,"Cov(pct_chg/100,R_idx(000001.SH),20)",1,1,1,1,True
MKT_NH_NL_DIFF,市场二百五十日新高新低家数差占比,1,1,1,1,True
MKT_LIMITUP_PREM_MA5,昨日涨停股当日平均溢价五日均值,1,1,1,1,True
LIMITUP_N_MKT,"市场情绪｜全市场涨停家数 (pct_chg>=limit-0.1, 自算)",-1,-1,-1,1,False
COV_R_RIDX_10,"Cov(pct_chg/100,R_idx(000001.SH),10)",1,1,1,1,True
REGIME_CODE,"市场状态｜全样本等权日收益累积指数 120 日滚动收益 -> unknown/sideways/up/down = -1/0/1/2 (divergence_lab build_market_regime 口径, universe 剔除 2 只指数文件)",-1,1,-1,-1,False
event_amount,事件日成交额,-1,-1,-1,-1,True
Q80_CF_20,"Quant(CF,20,0.8)/C̃",1,1,1,1,True
atr,平均真实波幅,-1,-1,-1,-1,True
RET120_20,"动量｜shift(CF,20)/shift(CF,240)-1 (剔除近 1 月的中期动量)",-1,-1,-1,1,False
CAL_HOLIDAY,"日历｜春节/国庆前 10 个工作日、后 5 个工作日 dummy (静态节假日表+工作日近似, 截断不变)",1,1,1,1,True
rsi_oversold_6_rankpct,相对强弱指标oversold_6｜当日横截面百分位,1,1,1,1,True
macd_golden_cross_rankpct,指数平滑异同移动平均线_golden_cross｜当日横截面百分位,-1,-1,-1,-1,True
REF_HIGH_60,"Ref(H̃,60)/C̃",1,1,1,1,True
BREADTH_ADV5,市场宽度｜universe 内 RET5>0 占比 (自算),1,1,-1,1,False
