column,feature,layer,family,formula,inputs,event_only
RET1,RET1,P0,反转,R (= pct_chg/100),pct_chg,False
RET5,RET5,P0,反转,"CF/shift(CF,5)-1",pct_chg,False
RET10,RET10,P0,反转,"CF/shift(CF,10)-1",pct_chg,False
RET20,RET20,P0,反转,"CF/shift(CF,20)-1",pct_chg,False
RET_ON,RET_ON,P0,隔夜/日内,O/PC - 1,open|pre_close,False
RET_ID,RET_ID,P0,隔夜/日内,C/O - 1,open|close,False
CUMON20,CUMON20,P0,隔夜/日内,"Sum(log1p(RET_ON), 20)",open|pre_close,False
CUMID20,CUMID20,P0,隔夜/日内,"Sum(log1p(RET_ID), 20)",open|close,False
VOL5,VOL5,P0,波动率,"Std(R,5)",pct_chg,False
VOL15,VOL15,P0,波动率,"Std(R,15)",pct_chg,False
VOL20,VOL20,P0,波动率,"Std(R,20)",pct_chg,False
IVOL60,IVOL60,P0,波动率,60 日 R = a+b*R_idx OLS 残差的 std (指数 000001.SH),pct_chg|idx_close,False
AMP1,AMP1,P0,波动率,(H-L)/PC,high|low|pre_close,False
AMP20,AMP20,P0,波动率,"Mean((H-L)/PC, 20)",high|low|pre_close,False
ATRN,ATRN,P0,波动率,"ATR14(H~,L~,C~)/C~ (Wilder 14)",high|low|close|pct_chg,False
ILLIQ20,ILLIQ20,P0,流动性,"log(Mean(abs(R)/(A*1000), 20) + 1e-30)",pct_chg|amount,False
AMT20,AMT20,P0,流动性,"log(Mean(A,20))",amount,False
VR5_60,VR5_60,P0,量能,"Mean(V,5)/Mean(V,60)",vol,False
VR1_20,VR1_20,P0,量能,"V/Mean(V,20)",vol,False
VOL_MOM,VOL_MOM,P0,量能,"(Mean(V,5)-Mean(V,20))/Mean(V,20)",vol,False
CPV10,CPV10,P0,量价相关,"Corr(C~, V, 10)",close|pct_chg|vol,False
CPV20,CPV20,P0,量价相关,"Corr(C~, V, 20)",close|pct_chg|vol,False
CPV_VWAP10,CPV_VWAP10,P0,量价相关,"-Corr(A/V, V, 10)",amount|vol,False
HLV_DIV10,HLV_DIV10,P0,量价相关,"-Corr(H/L, V, 10)",high|low|vol,False
MAX20,MAX20,P0,彩票,"Max(R,20)",pct_chg,False
MIN20,MIN20,P0,彩票,"Min(R,20)",pct_chg,False
MKT_RET20,MKT_RET20,P0,市场状态,"C_idx/shift(C_idx,20)-1",idx_close,False
MKT_MA60,MKT_MA60,P0,市场状态,"C_idx/Mean(C_idx,60)-1",idx_close,False
MKT_AVG_AMP,MKT_AVG_AMP,P0,市场状态,两指数 (H-L)/L 当日均值,idx_high|idx_low,False
MKT_SYNC_SCORE,MKT_SYNC_SCORE,P0,市场状态,"1 - min(1, |pc_sh-pc_sz|/0.02), pc=(C-O)/O (v2 market_sync_score 口径)",idx_open|idx_close,False
LIMITCNT20,LIMITCNT20,P0,制度,"Count(pct_chg >= limit-0.1, 20), limit 按板块 10/20/30",pct_chg|trade_date|ts_code,False
LIMITDOWN_CNT20,LIMITDOWN_CNT20,P0,制度,"Count(pct_chg <= -(limit-0.1), 20)",pct_chg|trade_date|ts_code,False
MACD_DIF_NORM,MACD_DIF_NORM,P0,技术指标,DIF/(C~*ATRp),close|pct_chg|high|low,False
MACD_HIST,MACD_HIST,P0,技术指标,2*(DIF-DEA),close|pct_chg,False
MACD_HIST_SLOPE5,MACD_HIST_SLOPE5,P0,技术指标,"Slope(MACD_HIST, 5)",close|pct_chg,False
MACD_ZERO_CROSS,MACD_ZERO_CROSS,P0,技术指标,"DIF 穿零轴标记 (上穿+1/下穿-1, 仅穿越日非零)",close|pct_chg,False
RSI6,RSI6,P0,技术指标,"Wilder RSI(C~,6)",close|pct_chg,False
RSI14,RSI14,P0,技术指标,"Wilder RSI(C~,14)",close|pct_chg,False
BIAS20,BIAS20,P0,技术指标,"C~/Mean(C~,20)-1",close|pct_chg,False
BIAS60,BIAS60,P0,技术指标,"C~/Mean(C~,60)-1",close|pct_chg,False
BOLL_SQUEEZE,BOLL_SQUEEZE,P0,技术指标,"1[(4*Std(C~,20))/Mean(C~,20) < 0.05]",close|pct_chg,False
DIST_SUPPORT20,DIST_SUPPORT20,P0,位置结构,"(C~-Min(L~,20))/C~",close|low|pct_chg,False
DIST_RESIST20,DIST_RESIST20,P0,位置结构,"(Max(H~,20)-C~)/C~",close|high|pct_chg,False
SR_RATIO20,SR_RATIO20,P0,位置结构,"Mean(H~,20)/Mean(L~,20) (RSRS 思路)",high|low|pct_chg,False
EFF_RATIO10,EFF_RATIO10,P0,位置结构,"abs(C~-shift(C~,10))/Sum(abs(dC~),10) (Kaufman)",close|pct_chg,False
DIST_HIGH60,DIST_HIGH60,P0,位置结构,"C~/Max(H~,60) (取 high 口径, 并入 drawdown_60)",close|high|pct_chg,False
CLOSE_VS_HIGH,CLOSE_VS_HIGH,P0,K线形态,"(H-C)/(H-L), 一字板置 0.5",open|high|low|close,False
PRICE_TREND5,PRICE_TREND5,P0,位置结构,"Slope(C~,5)/C~",close|pct_chg,False
MA_STACK,MA_STACK,P0,趋势,sign(C~-MA60)+sign(MA60-MA120)+sign(MA120-MA250) (加总),close|pct_chg,False
TREND_SLOPE_120,TREND_SLOPE_120,P0,趋势,"Slope(log(C~),120)*120 / (Std(R,120)*sqrt(120)) (t 统计量口径)",close|pct_chg,False
RET20_CSR,RET20_CSR,P0,反转×截面,cs_rank(RET20) 横截面百分位 (全 universe 当日),pct_chg,False
RSI_DIV,RSI_DIV,P0,事件结构,1[L~[i2]<L~[i1] 且 RSI14[i2]>RSI14[i1]],open|high|low|close|pct_chg|vol,True
