column,family,cn_name,note
ts_code,键,证券代码,键/段界列
event_date,键,事件日(相邻金叉对后一金叉日),键/段界列
event_row,键,事件日在个股日线升序帧中的行号,键/段界列
event_id,键,事件唯一编号(master_v6 权威),键/段界列
seg,键,段界标签(train/val/test/embargo/pre2001),键/段界列
volume,基础TA族,成交量,
macd,基础TA族,"MACD 快线 DIF(12,26,9)",
macd_signal,基础TA族,MACD 信号线 DEA,
macd_hist,基础TA族,MACD 柱(DIF−DEA),
rsi_6,基础TA族,相对强弱指标 RSI(6),
rsi_14,基础TA族,相对强弱指标 RSI(14),
rsi_24,基础TA族,相对强弱指标 RSI(24),
ma_5,基础TA族,收盘简单移动平均 MA(5),
ma_20,基础TA族,收盘简单移动平均 MA(20),
ma_60,基础TA族,收盘简单移动平均 MA(60),
bb_upper,基础TA族,"布林上轨(20,2,2)",
bb_middle,基础TA族,"布林中轨(20,2,2)",
bb_lower,基础TA族,"布林下轨(20,2,2)",
volume_ma_20,基础TA族,"成交量移动平均 VMA(20,talib)",
obv,基础TA族,能量潮 OBV,
atr,基础TA族,平均真实波幅 ATR(14),
slowk,基础TA族,"随机指标慢速 K(STOCH 5,3,3)",
slowd,基础TA族,"随机指标慢速 D(STOCH 5,3,3)",
price_vs_ma5,基础/进阶TA族,收盘对 MA5 乖离率,
price_vs_ma20,基础/进阶TA族,收盘对 MA20 乖离率,
price_vs_ma60,基础/进阶TA族,收盘对 MA60 乖离率,
ma_arrangement,基础/进阶TA族,均线排列(多头 1/空头 −1/其他 0),
bb_position,基础/进阶TA族,布林通道内位置,
bb_squeeze,基础/进阶TA族,布林挤压标记(带宽/收盘<0.05),
rsi_oversold_6,基础/进阶TA族,RSI(6) 超卖标记(<30),
rsi_oversold_14,基础/进阶TA族,RSI(14) 超卖标记(<30),
rsi_oversold_24,基础/进阶TA族,RSI(24) 超卖标记(<30),
rsi_overbought_6,基础/进阶TA族,RSI(6) 超买标记(>70),
rsi_overbought_14,基础/进阶TA族,RSI(14) 超买标记(>70),
rsi_overbought_24,基础/进阶TA族,RSI(24) 超买标记(>70),
macd_signal_distance,基础/进阶TA族,DIF−DEA 距离,
macd_golden_cross,MACD深度族,MACD 金叉标记(族 3 覆盖值:昨 DIF<昨 DEA 且今 DIF>今 DEA),
volume_ma20,基础/进阶TA族,"成交量均值(20,min_periods=1)",
volume_ratio,基础/进阶TA族,量比(成交量/20 日均量),
volume_spike,基础/进阶TA族,放量标记(量比>2),
volume_dryup,基础/进阶TA族,缩量标记(量比<0.5),
atr_ratio,基础/进阶TA族,ATR 占比(ATR/收盘),
hammer_pattern,基础/进阶TA族,锤子线形态标记,
downtrend,基础/进阶TA族,"下降趋势标记(5 日均线<10 日均线,bool)",
hammer_signal,基础/进阶TA族,下降趋势中锤子线信号(bool),
doji_pattern,基础/进阶TA族,十字星形态标记(实体<全幅 0.1),
distance_to_support,基础/进阶TA族,"至支撑位距离(20 窗最低价,前 20 行强制 0)",
distance_to_resistance,基础/进阶TA族,"至阻力位距离(20 窗最高价,前 20 行强制 0)",
stoch_oversold,基础/进阶TA族,随机指标超卖标记(慢速 K<20),
stoch_overbought,基础/进阶TA族,随机指标超买标记(慢速 D>80),
macd_percentile,基础/进阶TA族,"MACD 百分位(P7:按股截尾 100 行不含当日,rank 法;恰为 50 → NaN)",
obv_trend,基础/进阶TA族,OBV 趋势(6 点最小二乘斜率),
volatility_3d,基础/进阶TA族,年化波动率(3 日日对数收益标准差×√252),
volatility_5d,基础/进阶TA族,年化波动率(5 日日对数收益标准差×√252),
volatility_10d,基础/进阶TA族,年化波动率(10 日日对数收益标准差×√252),
volatility_15d,基础/进阶TA族,年化波动率(15 日日对数收益标准差×√252),
volatility_20d,基础/进阶TA族,年化波动率(20 日日对数收益标准差×√252),
volatility_25d,基础/进阶TA族,年化波动率(25 日日对数收益标准差×√252),
volatility_30d,基础/进阶TA族,年化波动率(30 日日对数收益标准差×√252),
engulfing_pattern,基础/进阶TA族,吞没形态标记(首行强制 0),
signed_volume_strength,基础/进阶TA族,带符号量能强度(量比×(收−开)/开),
close_vs_high,基础/进阶TA族,收盘距当日高点相对位置((高−收)/(高−低)),
volume_ma_ratio,基础/进阶TA族,"量能均线比(5 均量前一日/10 均量前一日,缺 → 1)",
rsi_momentum,基础/进阶TA族,"RSI(14) 动量(一阶差分,首行 0)",
rsi_turning_simple,基础/进阶TA族,RSI 简单转向标记(差分符号翻转),
rsi_turning,基础/进阶TA族,RSI 转向标记(顶/底拐点),
volume_trend_5,基础/进阶TA族,成交量趋势(6 点斜率),
volume_trend_10,基础/进阶TA族,成交量趋势(11 点斜率),
price_trend_5,基础/进阶TA族,价格趋势(6 点斜率),
price_volume_divergence,基础/进阶TA族,量价背离标记(价/量 6 点斜率异号),
volume_consistency,基础/进阶TA族,成交量一致性(6 窗标准差/均值),
macd_hist_trend_5,MACD深度族,"MACD 柱趋势(6 窗 min_periods=2 斜率,输入填 0)",
macd_death_cross,MACD深度族,MACD 死叉标记,
macd_signal_cross,MACD深度族,MACD 信号交叉(P9 复制列 ≡ macd_golden_cross),
macd_zero_cross_up,MACD深度族,DIF 上穿零轴标记,
macd_zero_cross_down,MACD深度族,DIF 下穿零轴标记,
macd_zero_cross,MACD深度族,DIF 零轴交叉标记,
macd_hist_amplitude,MACD深度族,MACD 柱振幅(20 窗极差),
macd_hist_direction,MACD深度族,MACD 柱方向(sign),
macd_hist_acceleration,MACD深度族,MACD 柱加速度(二阶差分),
macd_signal_convergence,MACD深度族,DIF−DEA 收敛度(P9 复制列 ≡ macd_signal_distance),
